k,frame,t,cx,cy,vx,vy,speed_px_s,speed_bl_per_s,psi_vel_deg,axis_deg,psi_body_deg,beta_deg
0,0,0.0000,327.6440,96.1966,-52.7568,333.4538,337.6014,2.1233,98.9904,25.0955,25.0955,-73.8949
1,1,0.0440,325.3227,110.8685,-17.2625,324.1396,324.5990,2.0415,93.0485,22.4247,22.4247,-70.6238
2,3,0.0880,326.1249,124.7209,53.7260,305.5113,310.1993,1.9509,80.0262,30.8833,30.8833,-49.1428
3,4,0.1320,330.0505,137.7535,131.4890,276.9443,306.5738,1.9281,64.6023,18.4352,18.4352,-46.1671
4,5,0.1760,337.6959,149.0920,227.4570,242.4401,332.4363,2.0908,46.8263,19.2271,19.2271,-27.5992
5,6,0.2200,350.0668,159.0883,232.0372,279.1844,363.0223,2.2832,50.2692,10.7135,10.7135,-39.5557
6,7,0.2640,358.1152,173.6602,185.5105,309.6310,360.9508,2.2701,59.0727,5.7686,5.7686,-53.3041
7,8,0.3080,366.3917,186.3358,181.7941,280.3847,334.1626,2.1017,57.0417,9.3910,9.3910,-47.6507
8,9,0.3520,374.1130,198.3340,170.0039,267.2428,316.7333,1.9920,57.5379,7.1793,7.1793,-50.3587
9,10,0.3960,381.3520,209.8531,180.3620,263.6307,319.4238,2.0090,55.6222,5.9748,5.9748,-49.6473
10,11,0.4400,389.9849,221.5335,194.1979,252.3551,318.4273,2.0027,52.4202,3.8522,3.8522,-48.5680
11,12,0.4840,398.4414,232.0604,235.7883,271.1661,359.3427,2.2600,48.9919,0.1267,0.1267,-48.8652
12,13,0.5280,410.7343,245.3961,296.1667,319.1137,435.3714,2.7382,47.1359,3.8720,3.8720,-43.2638
13,14,0.5720,424.5041,260.1424,312.6009,338.4109,460.6965,2.8975,47.2704,3.3622,3.3622,-43.9082
14,16,0.6160,438.2432,275.1763,301.4787,334.1501,450.0507,2.8305,47.9424,179.6786,359.6786,-48.2639
15,17,0.6600,451.0342,289.5476,277.6233,304.8238,412.3012,2.5931,47.6738,174.5370,354.5370,-53.1368
16,18,0.7040,462.6740,302.0008,231.9603,246.4665,338.4543,2.1286,46.7367,174.2896,354.2896,-52.4471
17,19,0.7480,471.4467,311.2367,214.4917,211.8364,301.4653,1.8960,44.6431,171.9050,351.9050,-52.7382
18,20,0.7920,481.5493,320.6424,268.7604,231.6563,354.8194,2.2316,40.7595,174.2776,354.2776,-46.4819
19,21,0.8360,495.0977,331.6224,330.6234,258.5720,419.7276,2.6398,38.0280,171.4558,351.4558,-46.5723
20,22,0.8800,510.6441,343.3967,365.5248,268.4807,453.5309,2.8524,36.2976,168.9763,348.9763,-47.3213
21,24,0.9240,527.2638,355.2487,371.0987,258.3281,452.1589,2.8438,34.8424,173.1721,353.1721,-41.6703
22,25,0.9680,543.3008,366.1296,341.4254,225.7443,409.3064,2.5743,33.4720,172.4817,352.4817,-40.9903
23,26,1.0120,557.3093,375.1142,290.7926,176.3841,340.1054,2.1390,31.2395,167.6736,347.6736,-43.5659
24,27,1.0560,568.8906,381.6514,273.8126,159.1651,316.7126,1.9919,30.1691,167.4429,347.4429,-42.7262
25,28,1.1000,581.4048,389.1207,281.2691,161.8464,324.5097,2.0409,29.9168,168.2854,348.2854,-41.6314
26,29,1.1440,593.6422,395.8939,286.4659,146.9689,321.9667,2.0249,27.1597,162.7173,342.7173,-44.4424
27,30,1.1880,606.6138,402.0540,298.6996,133.9943,327.3773,2.0590,24.1606,164.8352,344.8352,-39.3255
28,31,1.2320,619.9278,407.6854,306.4836,121.9782,329.8649,2.0746,21.7022,167.6343,347.6343,-34.0679
29,32,1.2760,633.5843,412.7881,310.3755,115.9702,331.3338,2.0839,20.4879,175.6448,355.6448,-24.8432
